Name	Codes
Fagus sylvatica	71
Ficus carica	299
Frangula alnus	3/300
Fraxinus spp.	55/255/355/455/955
Genista spp.	177/1177/155/1155/1255/1355/1455/1555/1755/1156/1655/2155/2156/3155/4155/6155/7155/8155/9075/9155/10155/11155/12155/13155/14155
Genistella spp.	9104
Gleditsia triacanthos	392
Globularia alypum	140
Halimium spp.	117/1117/2117/3117/4117/5117/6117
Heberdenia bahamensis	1
Hedera helix	141
Helianthemum spp.	142
Helichrysum spp.	128/1128/2128
Hypericum canariensis	163
Ilex spp.	65/82/282
Jasminum fruticans	143
Juglans spp.	75/275/975
Juniperus cedrus	337
Juniperus communis	37/937/3700
Juniperus oxycedrus	237
Juniperus phoenicea	39/238/239/1139
Juniperus thurifera	38
Kleinia neriifolia	164
Larix spp.	35/235/335/435
Launaea arborescens	185
Laurus spp.	94/294
Lavandula spp.	109/1109/2109/3109/4109
Ligustrum vulgare	112
Lithodora spp.	182
Lonicera spp.	144/1144/2144/3144/4144/5144/9012
Malus sylvestris	12
Maytenus spp.	158/1158
Medicago arborea	145/9076
Morus spp.	399/499/599
Myrica faya	81/281
Myrtus communis	6/600
Nerium oleander	146
Ocotea phoetens	87
Olea europaea	66
Ononis spp.	156/8104
Osyris spp.	135/1135/2135
Paliurus spina-christi	147
Periploca laevigata	183
Persea indica	84
Phillyrea angustifolia	113
Phillyrea latifolia	8
Phlomis spp.	171/1171/2171
Phoenix spp.	69/269/469
Picconia excelsa	86
Picea abies	33
Pinus canariensis	27
Pinus halepensis	24
Pinus nigra	25
Pinus pinaster	26
Pinus pinea	23
Pinus radiata	28
Pinus sylvestris	21
Pinus uncinata	22
Pistacia atlantica	293
Pistacia lentiscus	111
Pistacia terebinthus	93/9300
Platanus spp.	79/279
Pleiomeris canariensis	289
Populus spp.	51/52/58/258
Prunus spp.	95/295/395/495/595/1095/1195/2950/148
Pseudotsuga menziesii	34
Pyrus spp.	16
Quercus canariensis	47
Quercus coccifera	105
Quercus faginea	44/344
Quercus fruticosa	1105
Quercus ilex	45/245
Quercus lusitanica	244
Quercus petraea	42
Quercus pubescens	243
Quercus pyrenaica	43
Quercus robur	41
Quercus rubra	48
Quercus suber	46/646/746/846/946
Retama spp.	4103/1165/2165
Rhamnus spp.	4/122/1122/2122/3122/4122/389/5122/6122
Rhododendron spp.	108/1108/2108
Rhus coriaria	96
Ribes spp.	131/1131/2131
Robinia pseudacacia	92
Rosa spp.	119
Rubus spp.	121/1121/2121/3121
Rumex lunaria	166
Ruscus spp.	130/1130
Salix spp.	57/257/357/457/557/657/757/857/858/957
Salsola spp.	186
Salvia rosmarinus	114/1114
Sambucus spp.	97/197/297/997/2970
Santolina spp.	127/1127/2127
Securinega tinctoria	181
Sideritis spp.	180
Sideroxylon mirmulans	85
Smilax aspera	149
Sophora japonica	292
Sorbus spp.	78/278/378/478/578/678/778
Spartium spp.	3103/9103
Spiraea spp.	134/1134
Tamarix spp.	53/253
Taxus baccata	14
Teline spp.	165/9077/9078/9202/9914
Tetraclinis articulata	219
Teucrium spp.	179/1179
Thuja spp.	319
Thymelaea spp.	151
Thymus spp.	129/1129/2129/3129/4129/5129
Tilia spp.	77/277/377
Ulex spp.	157/176/1103/6103/1164/3164
Ulmus spp.	56/256/356/456/956
Vaccinium spp.	137/1137
Vella spp.	170/1170
Viburnum spp.	115/1115/4115/3115/2115
Visnea mocanera	489
Vitis vinifera	174
Withania frutescens	184
Zizyphus lotus	123
